Sample_ID	Cell_Line	Source	Primary_Site	Histology	Histology_Subtype
GSM886835	1321N1	ECACC	central_nervous_system	glioma	astrocytoma
GSM886836	143B	ATCC	bone	osteosarcoma	NA
GSM886837	22Rv1	ATCC	prostate	carcinoma	NA
GSM886838	23132/87	DSMZ	stomach	carcinoma	adenocarcinoma
GSM886839	42-MG-BA	DSMZ	central_nervous_system	glioma	astrocytoma_Grade_IV
GSM886840	5637	ATCC	urinary_tract	carcinoma	NA
GSM886841	639-V	DSMZ	urinary_tract	carcinoma	transitional_cell_carcinoma
GSM886842	647-V	DSMZ	urinary_tract	carcinoma	transitional_cell_carcinoma
GSM886843	697	DSMZ	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	acute_lymphoblastic_leukaemia
GSM886844	769-P	ATCC	kidney	carcinoma	clear_cell_renal_cell_carcinoma
GSM886845	786-O	ATCC	kidney	carcinoma	clear_cell_renal_cell_carcinoma
GSM886846	8305C	DSMZ	thyroid	carcinoma	anaplastic_carcinoma
GSM886847	8505C	HSRRB	thyroid	carcinoma	anaplastic_carcinoma
GSM886848	8-MG-BA	DSMZ	central_nervous_system	glioma	astrocytoma_Grade_IV
GSM886849	A101D	ATCC	skin	malignant_melanoma	NA
GSM886850	A172	ATCC	central_nervous_system	glioma	astrocytoma_Grade_IV
GSM886851	A-204	ATCC	soft_tissue	rhabdomyosarcoma	NA
GSM886852	A-253	ATCC	salivary_gland	carcinoma	mucoepidermoid_carcinoma
GSM886853	A2780	ECACC	ovary	carcinoma	adenocarcinoma
GSM886854	A-375	ATCC	skin	malignant_melanoma	NA
GSM886855	A3/KAW	HSRRB	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	diffuse_large_B_cell_lymphoma
GSM886856	A-498	ATCC	kidney	carcinoma	renal_cell_carcinoma
GSM886857	A4/Fuk	HSRRB	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	diffuse_large_B_cell_lymphoma
GSM886858	A549	ATCC	lung	carcinoma	non_small_cell_carcinoma
GSM886859	A-673	ATCC	bone	Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour	NA
GSM886860	A-704	ATCC	kidney	carcinoma	renal_cell_carcinoma
GSM886861	ABC-1	HSRRB	lung	carcinoma	non_small_cell_carcinoma
GSM886862	ACC-MESO-1	RIKEN	pleura	mesothelioma	NA
GSM886863	ACHN	ATCC	kidney	carcinoma	renal_cell_carcinoma
GSM886864	AGS	ATCC	stomach	carcinoma	adenocarcinoma
GSM886865	Alexander cells	HSRRB	liver	carcinoma	hepatocellular_carcinoma
GSM886866	AM-38	HSRRB	central_nervous_system	glioma	astrocytoma_Grade_IV
GSM886867	AML-193	ATCC	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	acute_myeloid_leukaemia
GSM886868	AMO-1	DSMZ	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	plasma_cell_myeloma
GSM886869	AN3 CA	ATCC	endometrium	carcinoma	adenocarcinoma
GSM886870	AsPC-1	ATCC	pancreas	carcinoma	ductal_carcinoma
GSM886871	AU565	ATCC	breast	carcinoma	NA
GSM886872	AZ-521	HSRRB	stomach	carcinoma	NA
GSM886873	BC-3C	DSMZ	urinary_tract	carcinoma	transitional_cell_carcinoma
GSM886874	BCP-1	ATCC	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	B_cell_lymphoma_unspecified
GSM886875	B-CPAP	DSMZ	thyroid	carcinoma	papillary_carcinoma
GSM886876	BDCM	ATCC	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	acute_lymphoblastic_B_cell_leukaemia
GSM886877	Becker	HSRRB	central_nervous_system	glioma	astrocytoma_Grade_IV
GSM886878	BEN	DSMZ	lung	carcinoma	NA
GSM886879	BFTC-905	DSMZ	urinary_tract	carcinoma	transitional_cell_carcinoma
GSM886880	BFTC-909	DSMZ	kidney	carcinoma	NA
GSM886881	BHT-101	DSMZ	thyroid	carcinoma	anaplastic_carcinoma
GSM886882	BHY	DSMZ	upper_aerodigestive_tract	carcinoma	squamous_cell_carcinoma
GSM886883	BICR 16	ECACC	upper_aerodigestive_tract	carcinoma	squamous_cell_carcinoma
GSM886884	BICR 18	ECACC	upper_aerodigestive_tract	carcinoma	squamous_cell_carcinoma
GSM886885	BICR 22	ECACC	upper_aerodigestive_tract	carcinoma	squamous_cell_carcinoma
GSM886886	BICR 31	ECACC	upper_aerodigestive_tract	carcinoma	squamous_cell_carcinoma
GSM886887	BICR 56	ECACC	upper_aerodigestive_tract	carcinoma	squamous_cell_carcinoma
GSM886888	BICR 6	ECACC	upper_aerodigestive_tract	carcinoma	squamous_cell_carcinoma
GSM886889	BL-41	DSMZ	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	Burkitt_lymphoma
GSM886890	BL-70	DSMZ	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	Burkitt_lymphoma
GSM886891	BT-20	ATCC	breast	carcinoma	ductal_carcinoma
GSM886892	BT-474	ATCC	breast	carcinoma	ductal_carcinoma
GSM886893	BT-483	ATCC	breast	carcinoma	ductal_carcinoma
GSM886894	BT-549	ATCC	breast	carcinoma	ductal_carcinoma
GSM886895	BV-173	DSMZ	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	blast_phase_chronic_myeloid_leukaemia
GSM886896	BxPC-3	ATCC	pancreas	carcinoma	ductal_carcinoma
GSM886897	C2BBe1	ATCC	large_intestine	carcinoma	adenocarcinoma
GSM886898	C32	ATCC	skin	malignant_melanoma	NA
GSM886899	C3A	ATCC	liver	carcinoma	hepatocellular_carcinoma
GSM886900	CA46	ATCC	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	Burkitt_lymphoma
GSM886901	CADO-ES1	DSMZ	bone	Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour	NA
GSM886902	Caki-1	ATCC	kidney	carcinoma	clear_cell_renal_cell_carcinoma
GSM886903	Caki-2	ATCC	kidney	carcinoma	clear_cell_renal_cell_carcinoma
GSM886904	CAL-120	DSMZ	breast	carcinoma	NA
GSM886905	CAL-12T	DSMZ	lung	carcinoma	non_small_cell_carcinoma
GSM886906	CAL-148	DSMZ	breast	carcinoma	ductal_carcinoma
GSM886907	CAL 27	ATCC	upper_aerodigestive_tract	carcinoma	squamous_cell_carcinoma
GSM886908	CAL-29	DSMZ	urinary_tract	carcinoma	transitional_cell_carcinoma
GSM886909	CAL-51	DSMZ	breast	carcinoma	NA
GSM886910	CAL-54	DSMZ	kidney	carcinoma	renal_cell_carcinoma
GSM886911	CAL-62	DSMZ	thyroid	carcinoma	anaplastic_carcinoma
GSM886912	CAL-78	DSMZ	bone	chondrosarcoma	dedifferentiated
GSM886913	CAL-85-1	DSMZ	breast	carcinoma	NA
GSM886914	Calu-1	ATCC	lung	carcinoma	squamous_cell_carcinoma
GSM886915	Calu-3	ATCC	lung	carcinoma	adenocarcinoma
GSM886916	Calu-6	ATCC	lung	carcinoma	undifferentiated_carcinoma
GSM886917	CAMA-1	ATCC	breast	carcinoma	NA
GSM886918	Caov-3	ATCC	ovary	carcinoma	adenocarcinoma
GSM886919	Caov-4	ATCC	ovary	carcinoma	adenocarcinoma
GSM886920	Capan-1	ATCC	pancreas	carcinoma	ductal_carcinoma
GSM886921	Capan-2	ATCC	pancreas	carcinoma	ductal_carcinoma
GSM886922	CAS-1	ICLC	central_nervous_system	glioma	astrocytoma_Grade_IV
GSM886923	CCF-STTG1	ATCC	central_nervous_system	glioma	astrocytoma
GSM886924	CCK-81	HSRRB	large_intestine	carcinoma	adenocarcinoma
GSM886925	CFPAC-1	ATCC	pancreas	carcinoma	ductal_carcinoma
GSM886926	CGTH-W-1	DSMZ	thyroid	carcinoma	follicular_carcinoma
GSM886927	ChaGo-K-1	ECACC	lung	carcinoma	NA
GSM886928	CHL-1	ATCC	skin	malignant_melanoma	NA
GSM886929	CHP-126	DSMZ	autonomic_ganglia	neuroblastoma	NA
GSM886930	CHP-212	ATCC	autonomic_ganglia	neuroblastoma	NA
GSM886931	CI-1	DSMZ	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	B_cell_lymphoma_unspecified
GSM886932	CJM	RIKEN	skin	malignant_melanoma	NA
GSM886933	CL-11	DSMZ	large_intestine	carcinoma	adenocarcinoma
GSM886934	CL-14	DSMZ	large_intestine	carcinoma	NA
GSM886935	CL-34	DSMZ	large_intestine	carcinoma	adenocarcinoma
GSM886936	CL-40	DSMZ	large_intestine	carcinoma	NA
GSM886937	CMK-11-5	HSRRB	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	acute_myeloid_leukaemia
GSM886938	CMK	DSMZ	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	acute_myeloid_leukaemia
GSM886939	CML-T1	DSMZ	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	blast_phase_chronic_myeloid_leukaemia
GSM886940	COLO 205	ATCC	large_intestine	carcinoma	adenocarcinoma
GSM886941	COLO-320	DSMZ	large_intestine	carcinoma	adenocarcinoma
GSM886942	COLO 668	ECACC	lung	carcinoma	small_cell_carcinoma
